Naissance,AOD,ATP,DTP,AOD_Macron,Debut,Enfants,Sexe,AgeLiq,DC,DV,CL,Possible,Tauxplein,Decote,Surcote,Possible_Mac,Tauxplein_Mac,Decote_Mac,Surcote_Mac
1965,62,67,169,63.66666666666668,16,1,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,1,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,1,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,1,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,1,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,1,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,1,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,1,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,1,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,1,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,1,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,1,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,1,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,2,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,2,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,2,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,2,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,2,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,2,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,2,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,2,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,2,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,2,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,2,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,2,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,2,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,2,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,2,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,2,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,3,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,3,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,3,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,3,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,3,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,3,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,3,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,3,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,3,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,3,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,3,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,3,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,3,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,3,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,3,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,3,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,4,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,4,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,4,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,4,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,4,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,4,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,4,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,4,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,4,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,4,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,4,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,4,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,4,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,4,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,4,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,4,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,5,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,5,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,5,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,5,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,5,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,5,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,5,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,5,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,5,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,5,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,5,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,5,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,5,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,5,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,5,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,5,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,6,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,6,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,6,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,6,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,6,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,6,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,6,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,6,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,6,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,6,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,6,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,6,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,6,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,6,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,6,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,6,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,7,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,7,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,7,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,7,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,7,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,7,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,7,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,7,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,7,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,7,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,7,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,7,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,7,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,7,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,7,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,7,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,8,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,8,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,8,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,8,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,8,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,8,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,8,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,8,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,8,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,8,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,8,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,8,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,8,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,8,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,8,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,8,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,9,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,9,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,9,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,9,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,9,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,9,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,9,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,9,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,9,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,9,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,9,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,9,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,9,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,9,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,9,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,9,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,10,1,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,10,1,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,10,1,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,10,1,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,10,1,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,10,1,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,10,1,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,10,1,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,16,10,2,60,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,10,2,61,180,180,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,16,10,2,62,184,184,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,16,10,2,63,188,188,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,16,10,2,64,192,192,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,16,10,2,65,196,196,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,16,10,2,66,200,200,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,16,10,2,67,204,204,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,0,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,0,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,0,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,0,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,0,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,0,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,0,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,0,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,0,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,0,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,0,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,0,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,0,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,0,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,0,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,0,2,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,1,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,1,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,1,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,1,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,1,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,1,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,1,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,1,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,1,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,1,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,1,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,1,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,1,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,1,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,1,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,1,2,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,2,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,2,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,2,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,2,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,2,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,2,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,2,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,2,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,2,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,2,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,2,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,2,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,2,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,2,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,2,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,2,2,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,3,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,3,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,3,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,3,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,3,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,3,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,3,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,3,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,3,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,3,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,3,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,3,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,3,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,3,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,3,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,3,2,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,4,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,4,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,4,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,4,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,4,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,4,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,4,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,4,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,4,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,4,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,4,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,4,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,4,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,4,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,4,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,4,2,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,5,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,5,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,5,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,5,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,5,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,5,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,5,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,5,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,5,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,5,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,5,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,5,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,5,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,5,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,5,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,5,2,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,6,1,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,6,1,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,6,1,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,6,1,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,6,1,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,6,1,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,6,1,66,196,196,1,1,1,0,16,1,1,0,9.333333
1965,62,67,169,63.66666666666668,17,6,1,67,200,200,1,1,1,0,20,1,1,0,13.333333
1965,62,67,169,63.66666666666668,17,6,2,60,172,172,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,6,2,61,176,176,1,1,1,0,0,0,,,
1965,62,67,169,63.66666666666668,17,6,2,62,180,180,1,1,1,0,0,1,1,0,0
1965,62,67,169,63.66666666666668,17,6,2,63,184,184,1,1,1,0,4,1,1,0,0
1965,62,67,169,63.66666666666668,17,6,2,64,188,188,1,1,1,0,8,1,1,0,1.3333334
1965,62,67,169,63.66666666666668,17,6,2,65,192,192,1,1,1,0,12,1,1,0,5.3333335
1965,62,67,169,63.66666666666668,17,6,2,66,196,196,1,1,1,0,16,1,1,0,9.333333
